"_ID_";"_MODEL_";"_NAME_";"_SKU_";"_PRICE_";"_CATEGORY_";"_QUANTITY_";"_PRODUCT_IMAGES_";"_MANUFACTURER_";"_DESCRIPTION_";"_ATTRIBUTES_";"Вид (ROZETKA)";"Вид изделия (PROM)";"_ATTRIBUTES_";"_CATEGORY_";"_PRODUCT_IMAGES_"
29352407;29352407;"Трусы George 10 шт 98-104 см Белый + Фиолетовый 5059186859679";"5059186859679";300;-1;1;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"3 года,3.5 года,4 года";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для девочек,Нижнее белье для девочек,Трусы";http://134.249.121.87/Rozetka/Photo/29352407.jpg
29352492;29352492;"Трусы George 10 шт 86-92 см Белый + Розовый 5059186934895";"5059186934895";260;-1;2;1;"George";"&nbsp;&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"1.5 года,2 года";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для девочек,Нижнее белье для девочек,Трусы";http://134.249.121.87/Rozetka/Photo/29352492.jpg
29352501;29352501;"Трусы George 10 шт 146-152 см Белый + Розовый 5059186936837";"5059186936837";260;-1;3;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"11 лет,12 лет";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для девочек,Нижнее белье для девочек,Трусы";http://134.249.121.87/Rozetka/Photo/29352501.jpg
29352493;29352493;"Трусы George 10 шт 92-98 см Белый + Розовый 5059186936899";"5059186936899";260;-1;2;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"2 года,2.5 года,3 года";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для девочек,Нижнее белье для девочек,Трусы";http://134.249.121.87/Rozetka/Photo/29352493.jpg
29352494;29352494;"Трусы George 10 шт 98-104 см Белый + Розовый 5059186936912";"5059186936912";260;-1;7;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"3 года,3.5 года,4 года";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для девочек,Нижнее белье для девочек,Трусы";http://134.249.121.87/Rozetka/Photo/29352494.jpg
29352495;29352495;"Трусы George 10 шт 104-110 см Белый + Розовый 5059186936936";"5059186936936";260;-1;3;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"4 года,5 лет";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для девочек,Нижнее белье для девочек,Трусы";http://134.249.121.87/Rozetka/Photo/29352495.jpg
29352496;29352496;"Трусы George 10 шт 110-116 см Белый + Розовый 5059186936950";"5059186936950";260;-1;2;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"5 лет,6 лет";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для девочек,Нижнее белье для девочек,Трусы";http://134.249.121.87/Rozetka/Photo/29352496.jpg
29352497;29352497;"Трусы George 10 шт 116-122 см Белый + Розовый 5059186936974";"5059186936974";260;-1;3;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"6 лет,7 лет";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для девочек,Нижнее белье для девочек,Трусы";http://134.249.121.87/Rozetka/Photo/29352497.jpg
29352498;29352498;"Трусы George 10 шт 122-128 см Белый + Розовый 5059186936998";"5059186936998";260;-1;3;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"7 лет,8 лет";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для девочек,Нижнее белье для девочек,Трусы";http://134.249.121.87/Rozetka/Photo/29352498.jpg
29352499;29352499;"Трусы George 10 шт 128-134 см Белый + Розовый 5059186937018";"5059186937018";260;-1;3;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"8 лет,9 лет";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для девочек,Нижнее белье для девочек,Трусы";http://134.249.121.87/Rozetka/Photo/29352499.jpg
29352500;29352500;"Трусы George 10 шт 134-140 см Белый + Розовый 5059186937032";"5059186937032";260;-1;2;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"9 лет,10 лет";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для девочек,Нижнее белье для девочек,Трусы";http://134.249.121.87/Rozetka/Photo/29352500.jpg
29352536;29352536;"Трусы George 10 шт 86-92 см Цветные 5059187012592";"5059187012592";260;-1;3;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"1.5 года,2 года";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для мальчиков,Нижнее белье,Трусы";http://134.249.121.87/Rozetka/Photo/29352536.jpg
29352533;29352533;"Трусы George 10 шт 110-116 см Темно-зеленый + Серый 5059187014770";"5059187014770";260;-1;2;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"5 лет,6 лет";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для мальчиков,Нижнее белье,Трусы";http://134.249.121.87/Rozetka/Photo/29352533.jpg
29352509;29352509;"Трусы George 10 шт 110-116 см Черный + Серый 5059187015654";"5059187015654";275;-1;3;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"5 лет,6 лет";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для мальчиков,Нижнее белье,Трусы";http://134.249.121.87/Rozetka/Photo/29352509.jpg
29352532;29352532;"Трусы George 10 шт 104-110 см Серый + Зеленый +  Черный 5059188452793";"5059188452793";275;-1;3;1;"George";"&nbsp;George — известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. <BR>&nbsp;&nbsp; Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. <BR>&nbsp;&nbsp; Сегодня George — это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<BR>&nbsp;&nbsp; Нижнее детское белье George пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<BR>&nbsp; Страна изготовитель нижнего белья - Бангладеш. ";"";"";"Трусики";"4 года,5 лет";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для мальчиков,Нижнее белье,Трусы";http://134.249.121.87/Rozetka/Photo/29352532.jpg
22940821;22940821;"Трусы George 10 шт. 140-146 см Белый 5057983692673";"5057983692673";260;-1;1;1;"George";"&nbsp; <strong>George </strong>— известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. Сегодня <strong>George </strong>— это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<br>&nbsp; Нижнее детское белье <strong>George </strong>пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<br>&nbsp; Страна изготовитель нижнего белья - Бангладеш.<br>
";"";"";"";"10 лет,11 лет";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для девочек,Нижнее белье для девочек,Трусы";http://134.249.121.87/Rozetka/Photo/22940821.jpg
8167;8167;"Трусы George 10 шт. 158-164 см Цветные 5059183493678";"5059183493678";260;-1;1;1;"George";"&nbsp; <strong>George </strong>— известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. Сегодня <strong>George </strong>— это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<br>&nbsp; Нижнее детское белье <strong>George </strong>пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<br>&nbsp; Страна изготовитель нижнего белья - Бангладеш.<br>
";"";"";"";"13 лет,14 лет";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для девочек,Нижнее белье для девочек,Трусы";http://134.249.121.87/Rozetka/Photo/8167.jpg
27867476;27867476;"Трусы George 10 шт. 86-92 см Однотонные 5059183511891";"5059183511891";260;-1;2;1;"George";"<strong>&nbsp; George </strong>— известный английский бренд, который производит одежду, обувь, нижнее белье, косметику, аксессуары в невысоком ценовом сегменте. Над коллекциями бренда работают креативные дизайнеры, а в производстве используются современные технологии. Сегодня <strong>George </strong>— это одна из самых крупных сетей в Европе. Ее покупатели – это молодые люди, которые хотят недорого и стильно одеваться, выглядеть на все 100% и с каждой новой коллекцией менять свой образ.<br>&nbsp; Нижнее детское белье <strong>George </strong>пользуется высокой популярностью, ведь при пошиве изделий используються качественные материалы.<br>&nbsp; Страна изготовитель нижнего белья - Бангладеш. 
";"";"";"";"1.5 года,2 года";"Одежда, обувь и аксессуары,Одежда,Детская одежда,Одежда для мальчиков,Нижнее белье,Трусы";http://134.249.121.87/Rozetka/Photo/27867476.jpg,http://134.249.121.87/Rozetka/Photo/27867476_1.jpg
